MDACODE,IDNum,IDType,FirstName,LastName,City,Street,BuildingNumber,Barcode,GetDate,TakeDate,ResultDate
6b4f7c15-d9ac-43f5-be79-2e8674038910,878746593,0,Garfield,Sapseed,Sinacaban,Mockingbird,36,21ABBA1C-1292-5EB2-0BBA-7C4AB5DB1185,28.04.2021,04.07.2021,23/03/2021
95cf04b0-d267-4da3-b30a-4b511b68be33,816235596,1,Had,Mannin,Drakino,Swallow,51,845E97D7-A566-C72F-84E4-24A34279C011,24.09.2021,31.10.2021,04/12/2021
ebe92c56-9385-4aee-99df-681eccfb2475,351141351,0,Ruby,Daborne,Mont-de-Marsan,La Follette,7,2DD28A22-02A5-3D62-BDD3-17957D184033,05.03.2021,18.07.2021,11/09/2021
7d004e47-c577-4f69-8c95-4358a1a0ece1,689546557,2,Mariann,Cutajar,Uubulan,Stoughton,70,96B941B1-B0DC-6257-E99A-273B70C2CCC6,20.05.2021,21.10.2021,23/01/2021
97e2a9be-3dfb-4bc8-a9c4-cc1762fcf558,127180993,0,Ivie,Hudson,Taurija,Bartillon,47,A178C3B6-89AC-C496-0D5F-A59924D44EDD,08.04.2021,24.05.2021,07/03/2021
e7fddf08-110a-49ae-99b1-c8bb81bd645d,454954398,2,Eli,Gellibrand,Taurija,American Ash,28,6C42B8D1-7162-9A59-6462-0EC848707725,05.06.2021,05.09.2021,11/12/2021
bcd32ad3-00d7-4b0f-836e-98b4c27ce941,135233854,1,Deborah,Coppins,Ustupo,Northland,88,BDC06E2C-1DED-4842-172B-8C99919AE11E,07.10.2021,18.02.2021,16/06/2021
09917754-2fd8-4d1b-bfb2-a1aaa51ff11d,728633301,1,Georgeanne,Greenham,Simrishamn,Manley,21,3B4843D8-6E54-AE68-1B36-4A481AD32658,10.01.2022,05.01.2022,20/09/2021
e7a3d952-0c61-48fd-803a-0047d118ca5b,482280454,2,Lisle,Snawdon,Murree,Thierer,40,CEB44882-AC8C-1BCB-0E92-07730EF16C5B,31.03.2021,20.07.2021,16/08/2021
bfd96039-ae17-4821-a536-2338d3f3e6d0,784320375,2,Jolie,Delhay,Akron,Stang,91,B1F2EC2B-A47D-6728-488B-413955391E6F,28.12.2021,17.04.2021,10/03/2021
8251ca25-5a1d-4fc1-9785-89102ad3416f,139936941,2,Evangelia,Channon,Lang,American,30,279F6994-F5CF-9217-AAD0-8B3291D5B277,29.03.2021,10.12.2021,01/03/2021
0f08272d-315a-4918-9f1b-b720ed6f0653,659647541,1,Una,Paul,Haicheng,Surrey,60,E48DEA3C-1343-594D-E6F4-C5A4B32BA23C,08.12.2021,18.03.2021,11/08/2021
59851fc3-9554-48df-9387-8e896b522599,578286550,0,Davin,Greest,Bailu,Sycamore,40,CACAC59C-3BEE-F42B-FECC-8E2EA984FF6F,15.06.2021,08.03.2021,26/08/2021
3735a720-6fa6-41a0-9934-347dafa0a662,405358195,2,Alicia,Arr,Vänersborg,Continental,88,FC6AA85C-8CAE-EF12-9520-D83A54AA23CD,31.07.2021,25.07.2021,28/08/2021
f6948e1b-5caa-45d9-832d-00805a94f606,426963040,1,Daloris,Munnis,Gannan,Starling,76,391EC11F-B586-DED4-B671-BF56C586B41E,06.05.2021,19.08.2021,20/06/2021
a453e088-5ee1-4fc7-9b8b-82e1dd047402,767940469,1,Sancho,MacCoughen,Kasukabe,Bultman,15,D53CCB72-A463-929E-DE60-841C74D9E75A,25.09.2021,18.03.2021,21/11/2021
76b412dc-8521-4f58-90af-5349d4c4bba7,243027397,0,Dru,Pevsner,Semey,Debra,90,277336C9-2589-C71A-09D0-7424C230BEAF,29.04.2021,31.07.2021,22/01/2021
f6c97720-01a8-4f34-b9ad-54f8373f8ea3,122457242,2,Bil,Bottrill,Shencun,Evergreen,14,A9A5B4D5-2109-3B5A-98DE-747AB9947699,24.04.2021,05.04.2021,22/06/2021
58a7ba63-6a99-43c7-8a74-9f0aab6e213b,822912730,2,Bevan,Heugh,Zhifudao,Fallview,36,42EA87D8-EDD1-43C3-4BC7-87A6BC213793,24.09.2021,20.01.2021,18/08/2021
c18c826a-0437-4367-94de-8cdb36420a27,687761920,1,Thurstan,Hasley,Suez,Clarendon,22,946115A8-64AE-3532-E6B8-2DFDAADE39F8,09.12.2021,16.08.2021,28/05/2021
988d0048-27f6-4c9b-8e66-02fd64694a36,844387189,0,Aloysia,Gregor,Casisang,Stone Corner,5,3C6CC3AD-994E-DF69-6329-5951C592C536,29.05.2021,08.05.2021,08/01/2022
a327964d-cb7e-4eb7-b052-214de24e1ea7,839744175,0,Jecho,Ickowicz,Oslo,Coleman,61,8374C412-2758-D4D2-1867-2BED85186451,29.03.2021,13.10.2021,26/04/2021
adeacd2b-0163-48f1-ba65-c0d7bdb25c07,153475466,1,Tony,Bampkin,Karangsari,Ludington,13,AEE4DA53-D7B2-8BD5-97FE-1922DD2BBC66,23.07.2021,24.09.2021,15/02/2021
990a7366-fb51-4972-b5b8-0cf8b9da8323,262211735,1,Aggie,Vankeev,Netvořice,Declaration,82,9515E78D-4B0A-D7CF-C985-9CE20E45A3BA,08.04.2021,03.02.2021,21/08/2021
